"","matID","pnd","arching","nursing","licking","eating","drinking","selfgroom","Timestamp","momwgt","P0wgt","p0pups","Pups.Dead","Pat","patID"
"164",14473,3,0,0,0,0.0625,0.0125,0.025,"7/23/13 13:47",30.9,7,7,1,"PS",14409
"165",14473,2,0,0.0125,0,0,0,0.1125,"7/23/13 13:47",30.9,7,7,1,"PS",14409
"166",14473,5,0,0,0,0.0625,0.025,0.025,"7/23/13 13:47",30.9,7,7,1,"PS",14409
"167",14473,4,0,0,0,0.0125,0,0.0625,"7/23/13 13:47",30.9,7,7,1,"PS",14409
"168",14479,5,0.0625,0.275,0.0125,0.0875,0,0.0875,"7/16/13 21:45",27.9,7.97,5,0,"PS",14408
"169",14479,1,0.0375,0.75,0.075,0.0125,0,0.0125,"7/16/13 21:45",27.9,7.97,5,0,"PS",14408
"170",14479,2,0.125,0.6,0.1375,0.0875,0.0125,0.0125,"7/16/13 21:45",27.9,7.97,5,0,"PS",14408
"171",14479,4,0.2,0.375,0.0375,0.075,0.0125,0.0375,"7/16/13 21:45",27.9,7.97,5,0,"PS",14408
"172",14479,3,0.1,0.375,0,0.0125,0.0125,0.025,"7/16/13 21:45",27.9,7.97,5,0,"PS",14408
"173",14481,2,0,0.175,0.0375,0.0375,0.0125,0.0375,"7/14/13 17:22",23.7,7.3,5,0,"PS",14410
"174",14481,5,0.175,0.3,0,0.1375,0.075,0,"7/14/13 17:22",23.7,7.3,5,0,"PS",14410
"175",14481,1,0.175,0.675,0.1875,0.0375,0.0125,0.0625,"7/14/13 17:22",23.7,7.3,5,0,"PS",14410
"176",14481,4,0.225,0.5625,0.1,0.0625,0.0125,0.1,"7/14/13 17:22",23.7,7.3,5,0,"PS",14410
"177",14481,3,0.0625,0.275,0.0375,0.0875,0.05,0.0625,"7/14/13 17:22",23.7,7.3,5,0,"PS",14410
"178",14482,4,0.025,0.1875,0.05,0.0125,0,0.1125,"7/20/13 16:03",23.5,12.5,11,0,"PS",14410
"179",14482,3,0.125,0.85,0.1125,0.0125,0,0.1625,"7/20/13 16:03",23.5,12.5,11,0,"PS",14410
"180",14482,2,0.1125,0.6125,0.125,0,0,0.05,"7/20/13 16:03",23.5,12.5,11,0,"PS",14410
"181",14482,1,0.225,0.7125,0.2625,0.0875,0,0,"7/20/13 16:03",23.5,12.5,11,0,"PS",14410
"182",14482,5,0,0.1125,0,0.0875,0,0.15,"7/20/13 16:03",23.5,12.5,11,0,"PS",14410
"183",14483,4,0,0.0125,0,0.025,0,0.025,"7/15/13 17:12",23,3.47,2,0,"PS",14410
"184",14483,3,0,0.175,0.0125,0.05,0,0.0375,"7/15/13 17:12",23,3.47,2,0,"PS",14410
"185",14483,2,0.2,0.5125,0.175,0.075,0.0125,0.0125,"7/15/13 17:12",23,3.47,2,0,"PS",14410
"186",14483,1,0.05,0.45,0.2,0.0625,0,0.0625,"7/15/13 17:12",23,3.47,2,0,"PS",14410
"187",14483,5,0,0,0,0.075,0,0.05,"7/15/13 17:12",23,3.47,2,0,"PS",14410
